url,short_url,favicon,ssl,url_rank,activeDuration,domain_name_len
http://tools.ietf.org/html/rfc106,1,1,0,11451,9372,8
http://www.hexatron.com/palm.html,0,0,0,10000000,8635,12
http://www.bebits.com/app/1226,0,0,1,10000000,7827,10
http://www.greatvalley.org/cvdn/,0,0,0,10000000,8456,15
http://tools.ietf.org/html/rfc1543,1,1,0,11451,9372,8
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coR6d1y3RrhSWX-BFQR_JrKD-wOPW_aVUCCbFB9yoVS4jbmZTTHW1srGlVHdKB9lZB1m1Sqqc1r2VGl6lTlEPW-CRg_e6eAcfYKjp-O53kqWwO0mdJBBkUHXP_md1ZxhGOYAvaeU20j_6q57leK_uLgpHFRKQR6jwGgHSjkhxR0H6iBPZ_-9UDK2NiOQRQgfjT7cPVfXSNG6Mtak9nf6_J-W9W6tw\%3D\%3D&amp;attredirects=2,1,0,0,1,8453,31
http://tools.ietf.org/html/rfc3007,1,1,0,11451,9372,8
http://www.marzocca.net/linux/,0,0,1,8655005,6003,12
http://www.briannorris.com/programs.html,0,-1,1,10000000,8347,15
http://www.zinebook.com/resource/adobe.html,0,0,1,10000000,8880,15
http://www.nytimes.com/library/tech/00/03/circuits/articles/23sull.html,1,0,0,81,9789,31
http://tools.ietf.org/html/rfc2350,1,1,0,11451,9372,8
http://canecreek.net/remax/,1,0,1,10000000,5966,13
http://www.oreillynet.com/windows/blog/2008/01/rubynet_vs_ironruby_whats_the.html,1,0,0,2875,8564,11
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7crG8Cs9F92J75UVyOqnwm6cscFLMIX0jM61tPoL_lCmDpZPc8rviXbPCmfrUyen1WLdBeC0nNUPBUdAVIfI_Y822nFRneV0iwp7b2WvYsAdokFslwpvpoKaO4ZTcIF5ZpiMdBKHNz_-_j1ALcLqPHXijsiq3QCEbBc2TJJ-LiLI6M5jmaP1wI897rM8fgBsM_dESxzyIw-LPxZFoGUh4OOwXVbQlw\%3D\%3D&amp;attredirects=0,1,0,0,1,8453,31
http://www.pixy.cz/apps/webedit/,1,0,0,2244979,6634,7
http://workingwithwalter.com/wp-admin/images/screenshots/Paypal_Virefication/1591b9872cad92d25278f4bef1ca1d8e/,0,0,0,10000000,473,25
http://pastehtml.com/view/bdiudlgu5.html,1,0,0,1292754,4301,13
http://www.cyberverse.net/query/trace/,0,0,1,10000000,8991,1
http://groups.yahoo.com/group/PCGF/,1,-1,0,11,9424,31
http://groups.yahoo.com/group/Palace-Graphics/,1,-1,0,11,9424,31
http://www.qinxin.cn/images/index.htm?ref=http:/eyaohyjus.battle.net/d3/en/index,1,0,1,10000000,6444,9
http://www.rybkj.cn/jpg?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,0,0,1,10000000,174,8
http://www.linabtechnologies.com/media/system/js/8f4e1b231bc520120a29649a394cd6b0/Einloggen.htm,1,0,1,10000000,3322,21
http://tools.ietf.org/html/rfc1302,1,1,0,11451,9372,8
http://www.w3.org/Style/CSS/msie/,0,0,0,5332,9620,23
http://dmoz.org/Regional/faq.html,1,0,1,58250,7979,31
http://www.c2.com/cgi/wiki?MetaObjectProtocol,1,0,0,126655,9511,6
http://www.openp2p.com/pub/a/p2p/2003/04/03/alan_kay.html,1,0,0,2875,8564,11
http://www.popularmechanics.com/science/robotics/,1,-1,0,6311,9374,25
http://tools.ietf.org/html/rfc832,1,1,0,11451,9372,8
http://www.sxlfjzzs.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fsdiltqius.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,0,1,10000000,1347,1
http://codigobox.com/~purebusi/paypal/,0,0,0,10000000,1405,13
http://hannestool.com/wp-includes/js/re02ornzan/,0,0,0,4234777,4985,14
http://www.noorbrands.com/cgi-binn/remax/index.htm,1,-1,0,10000000,3093,19
http://www.reportlab.com/software/opensource/,1,0,0,549188,7640,13
http://www-archive.mozilla.org/docs/codestock99/xul/xul_files/v3_document.htm,1,0,0,229,8322,31
http://www.angelfire.com/hiphop/DarkProphecy/index.html,0,0,1,18018,8058,25
http://blackmaxphoto.tripod.com/bcphoto/index.html,0,0,1,10000000,9535,25
http://automateinternetmarketing.com/service/service/Path=6N349g2t8ZR5ctyn3hw5sIr/,0,0,0,10000000,6355,29
http://www.baneclene.com/catalog/carpet-fibers-manufacture.html,0,0,0,3420888,8880,13
http://www.kuodesign.com/pineapple/,0,-1,1,10000000,8991,17
http://pastehtml.com/view/bg3kdlghp.html,1,1,0,1292754,4301,13
http://www.cs.tut.fi/staff/pk/scheme/psd/article/article.html,0,0,0,295762,10902,6
http://www.informatica.com/us/solutions/enterprise-data-integration-and-management/data-quality/,1,1,0,29779,9152,25
http://www.informit.com/articles/article.aspx?p=1609144,1,1,0,19649,7953,25
http://tools.ietf.org/html/rfc755,1,1,0,11451,9372,8
http://www.tamos.com/products/commview/,1,0,0,457761,9052,21
http://x0shop.com/images?us.battle.net/login/en/?ref=kwoyldwus.battle.net/d3/en/index&amp;app=com-d3,0,0,1,10000000,8,10
http://www.bluemangolearning.com/revolution/,1,0,0,10000000,5530,21
http://www.cnhedge.cn/js/index.htm?us.battle.net/login/en/?ref=rlhydbzus.battle.net/d3/en/index&app=com-d3,0,0,1,10000000,3671,10
http://www.excelsior-usa.com/xdsc.html,0,0,1,10000000,7579,17
http://members.tripod.com/blostein/,1,0,1,10000000,9535,25
http://www.gxyzx.com/js/?us.battle.net/login/en/?ref=dtiwlueus.battle.net/d3/en/index&amp;app=com-d3,0,0,1,10000000,5197,9
http://www.szviko.com/Images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Ffcajfscus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,0,1,10000000,3795,1
http://www.njlhpslc.com/images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fgbkajnmus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,0,1,10000000,134,12
http://www.beotim.net/images/lit/littlewoods.htm,1,0,0,10000000,4154,10
http://sourceforge.net/projects/rxvt,1,0,0,471,7761,1
http://www.pagedowntech.com/products/,1,0,0,10000000,6691,17
http://groups.yahoo.com/group/rss-dev/files/Modules/Proposed/mod_event.html,1,-1,0,11,9424,31
http://www.indresanolandscaping.com/media/index.htm,1,0,0,10000000,5422,24
http://www.devtools.narod.ru/en/main.html,0,0,1,10000000,7637,8
http://slashdot.org/articles/99/06/24/156245_F.shtml,1,1,0,15001,8433,1
http://www.latfar.com/spaw/uploads/files/pay1/pp/,0,0,0,3319591,4974,10
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cqIeTpSbQrVBpDl62Z3lfI8_vW6mVZnM-3oEjy2Ek_wqng6CfhFyVhvVMlxtmgkV59RAz3siGTtwrDpkqfFGx4l1WVyw8i9BKBJ_ddy8RXahL6nmv0aq_yETMyZXeC9HWalCY0PwL_OdDVXZwIrtaaF6JTXg2bnbqrxz8b5nsTU9ztWnBMyBSgokZbI6GPHlVDW-1TKf_gmY8Diq534ljVgHN-7xQ\%3D\%3D&amp;attredirects=2,1,0,0,1,8453,31
http://tools.ietf.org/html/rfc3171,1,1,0,11451,9372,8
http://homepage.eircom.net/~johnpcurran/,0,0,1,205799,8016,10
http://www.levinecentral.com/levinecentral/optimize-ool.html,0,0,0,926742,7312,26
http://www.creativegalleries.com/graphics/,0,0,1,10000000,6894,21
http://kilic.org/crescent/,1,0,0,10000000,7363,9
http://pastehtml.com/view/bfz2267cb.html,1,1,0,1292754,4301,13
http://www.agilemodeling.com/essays/agileModelingRUP.htm,0,0,0,198626,7125,17
http://www.hsqxx.com/js/?app=com-d3&amp;us.battle.net/login/en/?ref=http/::us.battle.net:d3:en:index,0,0,1,10000000,4930,1
http://tools.ietf.org/html/rfc2387,1,1,0,11451,9372,8
http://dinas.tomsk.ru/firebug/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&amp;,0,0,1,10696,8413,8
http://www.wat-tech.com/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&app=com-d3,0,0,1,10000000,3899,1
http://www.dbazine.com/sql,1,1,1,10000000,1997,11
http://www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=yfnidsgus.battle.net/d3/en/index&app=com-d3,1,0,1,10000000,6444,9
http://www.members.shaw.ca/robkwong/,0,0,1,7614,7311,7
http://www.chessgenius.com/palm/,0,0,1,10000000,7645,15
http://boingdragon.com/counters.html,0,0,1,10000000,8056,15
http://www.prodraw.net/cartoon/,0,1,1,1053870,8084,19
http://www.angelfire.com/ak4/kakphoto/,0,0,1,18018,8058,25
http://www.nbyixing.com/pro/?amp;amp;app=com-d3&amp;us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex,1,0,1,10000000,311,1
http://www.trustice.com/java/gallery/,0,0,1,10000000,7602,1
http://groups.yahoo.com/group/palace-server/,1,-1,0,11,9424,31
http://www.revistalibertad.com/media/cici/,0,0,0,10000000,3613,1
http://home.comcast.net/~ronaldreese/453650344541fa3640b8dfba9cf6ea9.html,1,1,0,309,6497,25
http://www.thegiacarangifoundation.org/home.html,1,-1,0,10000000,864,1
http://sourceforge.net/projects/typo3/,1,0,0,471,7761,1
http://www.nbyixing.com/pro/?amp;amp;app=com-d3&amp;us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex,1,0,1,10000000,311,1
http://www.ccl4.org/~nick/P/Fast_Enough/,0,0,1,10000000,8502,8
http://www.freewebs.com/qb89/,1,-1,0,135746,7453,1
http://www.stevemcconnell.com/rdenum.htm,1,0,0,2372108,7491,18
