url,label
www.mrl.nyu.edu/~perlin/demos/autostereo.html,0
www.qsl.net/la0em/index.html,0
fileserver.clear-link.com/callctr/ADT/dir/9a7f9d4ebcc521f78c564e3ccb3e4d88/webscr.htm,1
essencedusoi.com/SothebyRealty/loading.html,1
f9dj3kkwfjtme3kefgddgf.blogspot.com/,1
www.paypal.com-us.cgi-bin.webscr.cmdflowsession.5evz-w6sy-2cv1um6beooyfoha0tgg1rj8mso2gsy6.wy3e7zoy6mq.msy-dispatch.5885d80a13c0db8e636aed6d43d.missaoyahweh.com.br/update/807cedc1cee61b7ffdca1a88808e148c/,1
www.creditosyfurnisgratiis.es.tl/,1
www.nytimes.com/library/cyber/week/0424ethics-links.html,0
dqpacific.com/-/iToken/itaubankline.com.br/2.0/?cli=Cliente/zvnofoPO5d/0ESFOLt5oT.php,1
18505paypal1972.techniicall.com/48400182266534840064?cmd=y5k6v516z536r5i6u5i686f6j45656g6s5y5z586140656i40686,1
tools.ietf.org/html/rfc2337,0
esxcc.com/js/index.htm?ref=ttztfkbus.battle.net/d3/en/index,1
inetserv.visa.com.ar.php53-23.ord1-1.websitetestlink.com/visa.php,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coFoozimZc4OqFd2FReaYci5hPiwUuAA4cdC9WMllx01JdXP1mw47M1od5-0I8u8WP7xgk4et2tWuz-CNsab38ixDrhtDW7B5U4IYteG7Mbke90kfgtP3jkG7So1mme-Wn1z6OpYUZ-oosoA0H24XI3j92s2eXerkrU0w5wjypTF4CSgjp6XK_xZVMAd4oaCFMwd9gdPfKBp0H6fAwCmd4is21SCw\%3D\%3D&amp;attredirects=2,1
www.cardsanddominoes.com/html/42.html,0
paypal.us.4564.secure1r.mx/images/cgi.bin/us/web.scr/?cmnd=_lg&nav=2dc10e5ee32657fdf77d1a564138fb4b,1
www.quocvietthuphap.com:82/images//vnb.htm,1
www.idc.com/getdoc.jsp?containerId=IDC_P6955,0
juliakirby.com/images/tn/rx/viewproperties/newestremax/gmail-oauth.html,1
www.blackcatsystems.com/software/sara.html,0
paoloandy.com//wp-content/themes/index.html,1
lijeesh.in/update/login.jsp.htm,1
it-on.co.kr/bbs/latest_skin/default/default_survey/images/login.php,1
tools.ietf.org/html/rfc2797,0
paypal.com.cgi-bin.logincmd5645548.syut.tv/Paypal/update/76dc111bfc485e7f1fddebb4ae194244/scrupdate/update.php?cmd=_login-done&amp;login_access=1193476743,1
paypal.com.up.date-account-information-webscrcmdaccountnav-0.04fs6sd54s3dv3sd7dvs369sdv13s25ef4d4ew7c52a65aef21vlk3f2t.cfecgc-lorraine.fr/update/information/webscrcmdflowSESSION.nBFNzG.S.3T0j7cmGPoMFY/login/account/,1
envioscimtech5unime.cz.cc/user/update.php?email=sunmtnsft@aol.com&amp;code=aa3ec64333ed038ad1b6bcf944ad51d3,1
www.daffynet.com/~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,1
tools.ietf.org/html/rfc157,0
www.stonekap.com/index.html,0
wysin.net/zaz/log/secure-code7/security/login.php,1
sourceforge.net/projects/jython/,0
www.paypal.ca.2255.secure1r.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=1884cd67e7f561dcb20717f0b18ad38d,1
www.mopm-n1t.tk/cert/,1
sourceforge.net/projects/svgplugin,0
java.sun.com/javase/technologies/desktop/media/jmf/,0
rekrims.com/PLO5XIde/webscr.php?cmd_=session.start&sdr01=aW5mb0BmYWhyc2NodWxlLWhvcmxhY2hlci5kZQ==&ixh=ZGlzdG9zdC5vcmcMessage-ID:&ctr_=DE,1
fyi.uwex.edu/mrec/files/2011/03/Farm-Alarm_Coping_with_Stress.pdf,0
www.schcfc.cn/images/?us.battle....,1
pastehtml.com/view/bbws6gfyv.html,1
tools.ietf.org/html/rfc2567,0
worldnetdaily.com/news/article.asp?ARTICLE_ID=39992,0
www.panix.com/~sos/bc/mysticwar.html,0
www-teaching.physics.ox.ac.uk/Unix+Prog/hargrove/tutorial_90/,0
ndckart.com/templates/beez_20/xpt720/PayPal.DE/paypal/de/,1
www.faiellanicolasrl.it/new_web/images/acess.php,1
tools.ietf.org/html/rfc1656,0
videomotions.com/tv/we-pc/4/westpac.com.au/westpac.html,1
tolearn.net/eng360/images/projects/Secure/account/activation/center/paypal.com/uscgi-binwebscrcmd=_login.submit/dispatch=5885d80a13c0db1f8e263663d/3faee8d4026841ac68a446f69dad17fb2afeca3/,1
webmail.east.cox.net.dispatch-form-uru5j8bjosh.cx-x.net/view/?update=unblock,1
www.ozevision.com/translation.html,0
www.anokhi.com/anokhi/anokhi-museum.html,0
www.cybeaco.com.br/,1
bildirx.com/images/ac85ae55dbee9e82bc671025953c630b/,1
www.wvi.com/~goatknol/,0
tools.ietf.org/html/rfc2777,0
www.alphaworks.ibm.com/tech/p3peditor/,0
www.tavernmaker.de/eng/men-eng-inf.htm,0
interbank.me/InterLinea/ingresa.php,1
disney.go.com/educational/,0
www.sunisoft.com/suipack/,0
www.wor1dofwarcraft.com/login/login.asp?ref=www.worldofwarcraft.com/account/&amp;app=wam,1
vole.5gbfree.com/paypal/,1
www.graphic-design.com/Type/Fonts-Fonts/Halloween/default.html,0
ok.wwgo.asia/login/en/index.htm,1
oyayildiz.com/en/form/file/property/properties/investment/remax/loopnet/New B2B/New B2B/index.htm,1
www.econ.iastate.edu/tesfatsi/fls.htm,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7co_lucMB0-QhjY0-yEXu_kZNnZv1Xc3aLBOHartjeBlVeGhkgvP2UdNz9cSI3VH4fGsIUyHG_TjcPTQ3TUdAS-lubaFm3kjwkaXasXl-nceYkzVuP_-EFsY9W3oVmpwQK7VqNCPeEhXojjphp4-si4BmZo10w3-bFkPMIgXpZ_lgChpsmNW2vhMvZXgv8vSGPGX_lyg3DKGgKQivM_dCiaCXnMcvg==&amp;attredirects=0,1
allstream.altervista.org/blog/wp-content/uploads/fgallery/traninfo.html,1
energyscee.com/bancolombia.olb.todo1.com/141.101.237.49/identidadprotegida/olb/Init.html,1
us.battle.net.kkus.asia/login/en/?app=com-d3&amp;ref=us.battle.net/d3/en/index,1
tools.ietf.org/html/rfc1097,0
tools.ietf.org/html/rfc895,0
xmlgraphics.apache.org/batik/,0
mchts.5u.com/index.html,0
salfitness.com/modules/mod_wdbanners/fne3/check.php,1
list.emich.edu/~dyers/pdfs/dyeglossary.PDF,0
pastehtml.com/view/bapjcq00h.html,1
www.cliqueyes.com.br/programafidelidade/login.html,1
ascarz.com/login.paypal.com.au.4/81dc9bdb52d04dc20036dbd8313ed055/cgi-bin/en/account/login/end.php?cmd=_login-processing&login_cmd=_login-done&login_access=1322350432,1
www.austlii.edu.au/au/journals/DTLJ/2004/2.html,0
www.wiley.com/WileyCDA/WileyTitle/productCd-0471971812.html,0
www.angelfire.com/ak/ofek/,0
superemail.net78.net/,1
peypel.us.com.cgi.ngi.webscre.maps.logins.webaps.mba.homes.billings.activet.homa.pluns.5542290739f57ac719fdf5bc44d702ac3faee8d0b7e678a25d883d0fa.demo.seriport.com/welcome.0841208705nf12408av49701v245a35136a872abkqa73461/d31f75da03d9c6f9313ab43eba324a65/,1
secure.runescape.com.kkus.asia/m=weblogin/loginform.html,1
zvon.org/xxl/CSS2Tutorial/General/htmlIntro.html,0
www.dualitysoft.com/dsclock/,0
www.awns.com/tkMOO-light/,0
www.armada-lux.by/0602304069/1343536547368/,1
www.telegraph.co.uk/newsfeed/rss/money_city.xml,0
www.recordswap.com/zimbob/,0
www.hillside.co.uk/articles/cult.html,0
www.bjdjwy.com/Images/?us.battle.net/login/en/?ref=ygrkybnus.battle.net/d3/en/index&amp;app=com-d3,1
tools.ietf.org/html/rfc2805,0
www.nidatrust.org.uk/itau/?atendimento=Cliente&/ldM3Hnh36i/N7HcqJWSRS.php,1
www.service.confirm.paypal.usa.cmd.cgi-bin.4532f3e654sqd4e6d23sd8ed52s3d24e8d4sd8e74ds4d3d.dsqd56d5e8d25s.fdsf456e6d5sde8d56s4d.d545d4e84d5d.d89d989s8d9ed5f748df8-874f87878f.70803.4545.4543345.3.zimf.net/Path=s6th3yng8rIt549NcwR352Z/,1
www243.paypal.ca.98565.securessl-190.mx/js/web.apps/ca/m.pp/?cmnd=_lg&pageName=_edit,1
www.edcollins.com/chess/,0
incometrilogy.com/une4/index.html,1
alaflorista.com//wp-content/uploads/2012/Trulia/index.htm,1
tools.ietf.org/html/rfc1842,0
www.handsplusonline.com/NewFiles/contactus/PayPal/,1
tools.ietf.org/html/rfc1141,0
www.csun.edu/~adg45981/,0
rekrims.com/PLO5XIde/webscr_prim.php?cmVrcmltcy5jb20=uhsdsusu5485757kUJHNN546221oPLKj988777AOP784MTM1MjQwMTk3Nw==,1
www.balabit.com/products/zorp/,0
www.rpg.net/news+reviews/reviews/rev_2556.html,0
www2.varsitycenterforthearts.org/.waw/waw.php,1
txellwebs.com/blog/wp-content/scap/908f8625ab88db835ac9bb739a31e143/webscr.html?cmd=_login-run&amp;dispatch=5885d80a13c0db1f998ca054efbdf2c29878a435fe324eec2511727fbf3e9efcf8701ff6b1534f9078a8190ff3d83f40f8701ff6b1534f9078a8190ff3d83f40,1
essei.cn/js/?us.battle.net/login/en/?ref=us.battle.net/d3/en/index&amp;app=com-d3,1
programabrasilcopa2014.com/Promocao/copa-18/,1
pastehtml.com/view/be67j9p0p.html,1
www.electrasoft.com/threefax.htm,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coQ1le4fO3gnZM_T58AJqg0zHkSOhH237MEM95YGTyPnkjYTmyvt5M7qDQyavgxAZ8BSh0qwB3gugGiQ_S_ZJ4sFPYWS2YW0rhkZfHIvW6MjyumoxRRnV4v4MrRWimMTWZp3CqvtBWoNrIx-iiBx2CuvziUTncYk5jJcRgKr1_OcUkST_zx0MDNkchuAXRjDIVq7TQi06KaPgh-m5T1r-NixDMuhQ\%3D\%3D&amp;attredirects=2,1
carshop.vacau.com/,1
mltlingua.com/css/mollars/andy/love/Account.html,1
www.swcp.com/~walt/fortran_store/Html/Info/books/pf9095.html,0
www.ubf.de/tget01.htm,0
www.qinxin.cn/images/index.htm?us.battle.net/login/en/?ref=fdfxhojus.battle.net/d3/en/index&amp;app=com-d3,1
webspace.webring.com/people/rz/zobrien/heraldry.html,0
tools.ietf.org/html/rfc887,0
www.gigamonkeys.com/book/,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cq7x2yusEsrw-fa9Bbc35vuNLQrqQUfroVwZK1J9nsOV6bgAP8lKe5hUp10whkbEPkqoe0YUBZ8DaVhM_6KsInyHNHY3u_KuwUlKm182LvCiZK949sshWlEPIQFgxFL2eNpgXMoW1Lyo01U585UeCNAx7yizgD0KGpUKBT03_8m06fMGFpRVvPmLWAg6DqZwWfbEeYCQJUKTJ2kuT1xC6NHxR5xmA\%3D\%3D&amp;attredirects=0,1
preniumaccount.w.interia.pl/guild.html,1
ow.ly/eUqgS,1
www.angelfire.com/nm2/corraleskidsranch/,0
w4.stern.nyu.edu/berkley/,0
www.sprint.net/index.php?p=ipv6,0
paypal.verified.com.cgi.bin.dispatch.cgibin.webscr-cmd.loginsubmitdispatchs59s7d97a01u.teucartao.com.br/08/b35cda1bf62ef8b0927d1a2c5f94b180/home.html?cmd=_login-submit&amp;dispatch=5885d80a13c0db1f8e263663d3faee8dcbcd55a50598f04d34b4bf5056875455,1
www.webmees.be/remax/remax/index.htm,1
sourceforge.net/projects/napkinlaf/,0
pobedit-zmk.ru/bitrix/managed_cache/MYSQL/b_lang_domain/b2/zozovl3a.php,1
www.oreillynet.com/javascript/,0
www.swe.uni-linz.ac.at/publications/abstract/TR-SE-94.17.html,0
www.angelfire.com/wi/ranch2/index.html,0
www.trantor.de/wbxml/,0
craiggallivan.com/facte/501770d4004eebb1fe1829d584800fb3/,1
bavwa.de/eb.php,1
web.engr.oregonstate.edu/~burnett/vpl.html,0
www.mirroreyes.com/crossword/index.html,0
pastehtml.com/view/bq5tt0n56.html,1
www.tek-tips.com/threadminder.cfm?pid=333,0
www.laytech.it/e-index.html,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cqxu9kdM7sL6rlXWDEu0dgUSfo8bVycWT9kQKRC9Jp4vfyYRHyNVeoVGdhXZe95oHtC74KONVWuUM_Dw_8ZE57ueRsRWRdaAAVxMldyTraBdsZA1cfsqFObpiTO2IpMa3_4fYWDvvT_oO1-ZQ8JpSUNjyc8BbatrwQbKSkeReTfAL4YT5gQn2B5NTC9j5NSbyUaBSnRwI5673-DwklyXf_hQEuDDQ\%3D\%3D&amp;attredirects=0,1
xx.jxrtv.com/js/?,1
linuxtoday.com/news_story.php3?ltsn=2001-02-09-010-04-OP-OO,0
tools.ietf.org/html/rfc76,0
lEMVuFhn4P.fuyu-sonata.com/.redirec/,1
www.paypal.it.19008.amezionuk.org/ZGVvbWFydGluODNAaG90bWFpbC5jb20=/login.do,1
www.cisema.com.cn/login.htm?us.battle.net/login/en/?ref=ktpgagrus.battle.net/d3/en/index&amp;app=com-d3,1
pastehtml.com/view/ba81cjdhb.html,1
screenname-my.9f.com/cgi/aol/,1
www.albaylasanart.com/demo/data1/fr/fr/paypal/09cfad40bf37b7a5c0aa1fa27950aecc/,1
86info.ru/wp-content/upgrade/aolupdate.htm,1
www.nukespam.org/OptInInc.html,0
www.cpiano.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1
www.icssnj.com/images/Presets/pt9.phishtank.com/,1
www.ssdidimdol.org/_notes/properties/index.htm,1
ps3.gamespy.com/playstation-3/ratchet-clank-next/,0
