domain,ranking,isIp,valid,activeDuration,urlLen,is@,isredirect,haveDash,domainLen,nosOfSubdomain,label
www.mrl.nyu.edu/~perlin/demos/autostereo.html,4184,0,0,0,45,0,0,0,15,3,0
www.qsl.net/la0em/index.html,43260,0,1,8401,28,0,0,0,11,2,0
fileserver.clear-link.com/callctr/ADT/dir/9a7f9d4ebcc521f78c564e3ccb3e4d88/webscr.htm,10000000,0,1,5844,85,0,0,1,25,2,1
essencedusoi.com/SothebyRealty/loading.html,10000000,0,1,3288,43,0,0,0,16,1,1
f9dj3kkwfjtme3kefgddgf.blogspot.com/,11,0,1,7305,36,0,0,0,35,2,1
www.paypal.com-us.cgi-bin.webscr.cmdflowsession.5evz-w6sy-2cv1um6beooyfoha0tgg1rj8mso2gsy6.wy3e7zoy6mq.msy-dispatch.5885d80a13c0db8e636aed6d43d.missaoyahweh.com.br/update/807cedc1cee61b7ffdca1a88808e148c/,10000000,0,1,2922,204,0,0,1,163,12,1
www.creditosyfurnisgratiis.es.tl/,10000000,0,0,0,33,0,0,0,32,3,1
www.nytimes.com/library/cyber/week/0424ethics-links.html,122,0,1,10593,56,0,0,0,15,2,0
dqpacific.com/-/iToken/itaubankline.com.br/2.0/?cli=Cliente/zvnofoPO5d/0ESFOLt5oT.php,10000000,0,1,1827,85,0,0,0,13,1,1
18505paypal1972.techniicall.com/48400182266534840064?cmd=y5k6v516z536r5i6u5i686f6j45656g6s5y5z586140656i40686,10000000,0,0,0,109,0,0,0,31,2,1
tools.ietf.org/html/rfc2337,14969,0,1,9133,27,0,0,0,14,2,0
esxcc.com/js/index.htm?ref=ttztfkbus.battle.net/d3/en/index,10000000,0,1,4749,59,0,0,0,9,1,1
inetserv.visa.com.ar.php53-23.ord1-1.websitetestlink.com/visa.php,15502,0,1,6209,65,0,0,1,56,7,1
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7coFoozimZc4OqFd2FReaYci5hPiwUuAA4cdC9WMllx01JdXP1mw47M1od5-0I8u8WP7xgk4et2tWuz-CNsab38ixDrhtDW7B5U4IYteG7Mbke90kfgtP3jkG7So1mme-Wn1z6OpYUZ-oosoA0H24XI3j92s2eXerkrU0w5wjypTF4CSgjp6XK_xZVMAd4oaCFMwd9gdPfKBp0H6fAwCmd4is21SCw\%3D\%3D&amp;attredirects=2,4570,0,1,6939,343,0,0,1,44,2,1
www.cardsanddominoes.com/html/42.html,10000000,0,1,5479,37,0,0,0,24,2,0
paypal.us.4564.secure1r.mx/images/cgi.bin/us/web.scr/?cmnd=_lg&nav=2dc10e5ee32657fdf77d1a564138fb4b,10000000,0,0,0,99,0,0,0,26,4,1
www.quocvietthuphap.com:82/images//vnb.htm,10000000,0,0,0,42,0,1,0,26,2,1
www.idc.com/getdoc.jsp?containerId=IDC_P6955,39247,0,1,8400,44,0,0,0,11,2,0
juliakirby.com/images/tn/rx/viewproperties/newestremax/gmail-oauth.html,10000000,0,1,3653,71,0,0,0,14,1,1
www.blackcatsystems.com/software/sara.html,532647,0,1,9496,42,0,0,0,23,2,0
paoloandy.com//wp-content/themes/index.html,10000000,0,0,0,43,0,1,0,13,1,1
lijeesh.in/update/login.jsp.htm,10000000,0,0,0,31,0,0,0,10,1,1
it-on.co.kr/bbs/latest_skin/default/default_survey/images/login.php,10000000,0,1,5114,67,0,0,1,11,2,1
tools.ietf.org/html/rfc2797,14969,0,1,9133,27,0,0,0,14,2,0
paypal.com.cgi-bin.logincmd5645548.syut.tv/Paypal/update/76dc111bfc485e7f1fddebb4ae194244/scrupdate/update.php?cmd=_login-done&amp;login_access=1193476743,10000000,0,0,0,154,0,0,1,42,5,1
paypal.com.up.date-account-information-webscrcmdaccountnav-0.04fs6sd54s3dv3sd7dvs369sdv13s25ef4d4ew7c52a65aef21vlk3f2t.cfecgc-lorraine.fr/update/information/webscrcmdflowSESSION.nBFNzG.S.3T0j7cmGPoMFY/login/account/,10000000,0,0,0,215,0,0,1,137,6,1
envioscimtech5unime.cz.cc/user/update.php?email=sunmtnsft@aol.com&amp;code=aa3ec64333ed038ad1b6bcf944ad51d3,10000000,0,1,8930,107,1,0,0,25,2,1
www.daffynet.com/~mpolvora/accounts.department.online.team/webscr.php?cmd=_login-run,10000000,0,0,0,84,0,0,0,16,2,1
tools.ietf.org/html/rfc157,14969,0,1,9133,26,0,0,0,14,2,0
www.stonekap.com/index.html,10000000,0,1,7670,27,0,0,0,16,2,0
wysin.net/zaz/log/secure-code7/security/login.php,10000000,0,1,1461,49,0,0,0,9,1,1
sourceforge.net/projects/jython/,168,0,1,7670,32,0,0,0,15,1,0
www.paypal.ca.2255.secure1r.mx/images/cgi.bin/ca/web.scr/?cmnd=_lg&nav=1884cd67e7f561dcb20717f0b18ad38d,10000000,0,0,0,103,0,0,0,30,5,1
www.mopm-n1t.tk/cert/,10000000,0,0,0,21,0,0,1,15,2,1
sourceforge.net/projects/svgplugin,168,0,1,7670,34,0,0,0,15,1,0
java.sun.com/javase/technologies/desktop/media/jmf/,29330,0,1,12419,51,0,0,0,12,2,0
rekrims.com/PLO5XIde/webscr.php?cmd_=session.start&sdr01=aW5mb0BmYWhyc2NodWxlLWhvcmxhY2hlci5kZQ==&ixh=ZGlzdG9zdC5vcmcMessage-ID:&ctr_=DE,10000000,0,0,0,136,0,0,0,11,1,1
fyi.uwex.edu/mrec/files/2011/03/Farm-Alarm_Coping_with_Stress.pdf,91141,0,0,0,65,0,0,0,12,2,0
www.schcfc.cn/images/?us.battle....,10000000,0,1,365,35,0,0,0,13,2,1
pastehtml.com/view/bbws6gfyv.html,44061,0,1,4017,33,0,0,0,13,1,1
tools.ietf.org/html/rfc2567,14969,0,1,9133,27,0,0,0,14,2,0
worldnetdaily.com/news/article.asp?ARTICLE_ID=39992,10000000,0,1,9497,51,0,0,0,17,1,0
www.panix.com/~sos/bc/mysticwar.html,289109,0,1,10594,36,0,0,0,13,2,0
www-teaching.physics.ox.ac.uk/Unix+Prog/hargrove/tutorial_90/,6615,0,0,0,61,0,0,1,29,4,0
ndckart.com/templates/beez_20/xpt720/PayPal.DE/paypal/de/,10000000,0,1,6210,57,0,0,0,11,1,1
www.faiellanicolasrl.it/new_web/images/acess.php,10000000,0,1,6838,48,0,0,0,23,2,1
tools.ietf.org/html/rfc1656,14969,0,1,9133,27,0,0,0,14,2,0
videomotions.com/tv/we-pc/4/westpac.com.au/westpac.html,10000000,0,1,730,55,0,0,0,16,1,1
tolearn.net/eng360/images/projects/Secure/account/activation/center/paypal.com/uscgi-binwebscrcmd=_login.submit/dispatch=5885d80a13c0db1f8e263663d/3faee8d4026841ac68a446f69dad17fb2afeca3/,10000000,0,1,8034,187,0,0,0,11,1,1
webmail.east.cox.net.dispatch-form-uru5j8bjosh.cx-x.net/view/?update=unblock,10000000,0,0,0,76,0,0,1,55,6,1
www.ozevision.com/translation.html,10000000,0,1,5479,34,0,0,0,17,2,0
www.anokhi.com/anokhi/anokhi-museum.html,10000000,0,1,8400,40,0,0,0,14,2,0
www.cybeaco.com.br/,10000000,0,1,3288,19,0,0,0,18,3,1
bildirx.com/images/ac85ae55dbee9e82bc671025953c630b/,10000000,0,0,0,52,0,0,0,11,1,1
www.wvi.com/~goatknol/,10000000,0,1,12052,22,0,0,0,11,2,0
tools.ietf.org/html/rfc2777,14969,0,1,9133,27,0,0,0,14,2,0
www.alphaworks.ibm.com/tech/p3peditor/,576,0,1,12419,38,0,0,0,22,3,0
www.tavernmaker.de/eng/men-eng-inf.htm,10000000,0,0,0,38,0,0,0,18,2,0
interbank.me/InterLinea/ingresa.php,10000000,0,0,0,35,0,0,0,12,1,1
disney.go.com/educational/,61,0,1,8400,26,0,0,0,13,2,0
www.sunisoft.com/suipack/,10000000,0,1,6940,25,0,0,0,16,2,0
www.wor1dofwarcraft.com/login/login.asp?ref=www.worldofwarcraft.com/account/&amp;app=wam,10000000,0,1,366,88,0,0,0,23,2,1
vole.5gbfree.com/paypal/,47798,0,1,5844,24,0,0,0,16,2,1
www.graphic-design.com/Type/Fonts-Fonts/Halloween/default.html,196211,0,1,9131,62,0,0,1,22,2,0
ok.wwgo.asia/login/en/index.htm,10000000,0,0,0,31,0,0,0,12,2,1
oyayildiz.com/en/form/file/property/properties/investment/remax/loopnet/New B2B/New B2B/index.htm,10000000,0,0,0,97,0,0,0,13,1,1
www.econ.iastate.edu/tesfatsi/fls.htm,10794,0,0,0,37,0,0,0,20,3,0
9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7co_lucMB0-QhjY0-yEXu_kZNnZv1Xc3aLBOHartjeBlVeGhkgvP2UdNz9cSI3VH4fGsIUyHG_TjcPTQ3TUdAS-lubaFm3kjwkaXasXl-nceYkzVuP_-EFsY9W3oVmpwQK7VqNCPeEhXojjphp4-si4BmZo10w3-bFkPMIgXpZ_lgChpsmNW2vhMvZXgv8vSGPGX_lyg3DKGgKQivM_dCiaCXnMcvg==&amp;attredirects=0,4570,0,1,6939,337,0,0,1,44,2,1
allstream.altervista.org/blog/wp-content/uploads/fgallery/traninfo.html,602,0,1,7305,71,0,0,0,24,2,1
energyscee.com/bancolombia.olb.todo1.com/141.101.237.49/identidadprotegida/olb/Init.html,10000000,0,1,4018,88,0,0,0,14,1,1
us.battle.net.kkus.asia/login/en/?app=com-d3&amp;ref=us.battle.net/d3/en/index,10000000,0,0,0,78,0,0,0,23,4,1
tools.ietf.org/html/rfc1097,14969,0,1,9133,27,0,0,0,14,2,0
tools.ietf.org/html/rfc895,14969,0,1,9133,26,0,0,0,14,2,0
xmlgraphics.apache.org/batik/,1373,0,1,12420,29,0,0,0,22,2,0
mchts.5u.com/index.html,160758,0,1,10591,23,0,0,0,12,2,0
salfitness.com/modules/mod_wdbanners/fne3/check.php,10000000,0,0,0,51,0,0,0,14,1,1
list.emich.edu/~dyers/pdfs/dyeglossary.PDF,39852,0,0,0,42,0,0,0,14,2,0
pastehtml.com/view/bapjcq00h.html,44061,0,1,4017,33,0,0,0,13,1,1
www.cliqueyes.com.br/programafidelidade/login.html,10000000,0,0,0,50,0,0,0,20,3,1
ascarz.com/login.paypal.com.au.4/81dc9bdb52d04dc20036dbd8313ed055/cgi-bin/en/account/login/end.php?cmd=_login-processing&login_cmd=_login-done&login_access=1322350432,10000000,0,0,0,166,0,0,0,10,1,1
www.austlii.edu.au/au/journals/DTLJ/2004/2.html,50069,0,0,0,47,0,0,0,18,3,0
www.wiley.com/WileyCDA/WileyTitle/productCd-0471971812.html,1933,0,1,9861,59,0,0,0,13,2,0
www.angelfire.com/ak/ofek/,2547,0,1,8035,26,0,0,0,17,2,0
superemail.net78.net/,40446,0,1,4383,21,0,0,0,20,2,1
peypel.us.com.cgi.ngi.webscre.maps.logins.webaps.mba.homes.billings.activet.homa.pluns.5542290739f57ac719fdf5bc44d702ac3faee8d0b7e678a25d883d0fa.demo.seriport.com/welcome.0841208705nf12408av49701v245a35136a872abkqa73461/d31f75da03d9c6f9313ab43eba324a65/,10000000,0,1,366,253,0,0,0,162,18,1
secure.runescape.com.kkus.asia/m=weblogin/loginform.html,10000000,0,0,0,56,0,0,0,30,4,1
zvon.org/xxl/CSS2Tutorial/General/htmlIntro.html,194914,0,0,0,48,0,0,0,8,1,0
www.dualitysoft.com/dsclock/,10000000,0,1,7305,28,0,0,0,19,2,0
www.awns.com/tkMOO-light/,10000000,0,1,8034,25,0,0,0,12,2,0
www.armada-lux.by/0602304069/1343536547368/,10000000,0,0,0,43,0,0,1,17,2,1
www.telegraph.co.uk/newsfeed/rss/money_city.xml,279,0,0,0,47,0,0,0,19,3,0
www.recordswap.com/zimbob/,10000000,0,1,8400,26,0,0,0,18,2,0
www.hillside.co.uk/articles/cult.html,10000000,0,0,0,37,0,0,0,18,3,0
www.bjdjwy.com/Images/?us.battle.net/login/en/?ref=ygrkybnus.battle.net/d3/en/index&amp;app=com-d3,10000000,0,1,5113,98,0,0,0,14,2,1
tools.ietf.org/html/rfc2805,14969,0,1,9133,27,0,0,0,14,2,0
