url,href_count,page_redirect,meta_data,url_rank,email_count,name_server_count,domain_name_count,label
http://groups.google.com/group/kaas,13,0,3,1,2,8,2,0
http://www.dzsoft.com/perl-editor.html,16,0,4,10110358,0,3,1,0
http://alxsoft.narod.ru/default.htm,43,0,3,10000000,0,3,1,0
http://jrodonto.com.br/images/hotr.png,0,0,1,10000000,-1,-1,1,1
http://www.gzjtjyw.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fynsmcinus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,0,0,1,10000000,0,2,1,1
http://www.easysoft.com/homepage/main.phtml,78,0,8,424803,0,2,1,0
http://tools.ietf.org/html/rfc1669,16,0,8,11392,0,6,1,0
http://www.intellij.org/twiki/bin/view/Main/WebHome,33,0,14,1933,0,4,1,0
http://tools.ietf.org/html/rfc997,494,0,9,11392,0,6,1,0
http://www.laoxuetang.com/Js/?us.battle.net/login/en/?ref=qfgleplus.battle.net/d3/en/index&amp;app=com-d3,1,0,1,10000000,0,4,2,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cpGSFUbpLUMX2o9X8p6GlpSHVoWe994cX8W6GDQAIy0yFWggnGyy-OsuyPTzRBwPf0bEfuEPXlPjMzhfgF84jnZN8Kf0jeOW4Q2EXy313z7B23pRGULQmiFCwKmMMUjaXRy6v4goX1ZnMFESQyHNOG0H97Q8voJBbpR6ImQ4gKhTXtiKBsf1pnXkt0p_wRF5GVCCy9DhDqlCshusmwjOZc0Gb0Ojw\%3D\%3D&amp;attredirects=2,7,0,4,1,2,8,2,1
http://lists.debian.org/debian-security-announce/,78,0,5,10388,3,4,2,0
http://www.aurigma.com/Products/GraphicsMill/,81,0,4,836453,0,2,1,0
http://butarafta.com/haber/www.remax.com/,14,0,2,10000000,0,2,1,1
http://www.vbcity.com/forums/,122,0,6,201862,0,2,1,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7co5rf42ZP1UTv-xi6DaasNHtBpJpwAV1lE5A6ugCtLMNdBlIEVfNe-37_q2FyIjG0VCaDiC_qnYK4B_Dh5vhhz5IXHcIgi3nmpfEVbk_5hKB-Dfy3m8ubWOsmiEUcfweVREeuar6gV5IGgAZK8mOJMxAYmBLcZywoETO_Ei3usz7dFQWmeIVdGlokf6ds50huvN-tq5hk4bvhVrRsFPi6HTAuRGxg\%3D\%3D&amp;attredirects=1,7,0,4,1,2,8,2,1
http://woodstonmanor.tripod.com/Angus.htm,0,0,4,10000000,2,8,2,0
http://pastehtml.com/view/bfjgelw57.html,5,0,14,1292868,0,2,1,1
http://happythumbsgaming.com//wp-includes/pomo/confirm_debit_order_payee/index.htm,57,0,6,10000000,2,4,2,1
http://www.xmission.com/~callahan/plug-ins/genetic.html,8,0,3,209025,2,8,1,0
http://code.google.com/p/iburg/,7,0,3,1,2,8,2,0
http://people.redhat.com/drepper/nptl-design.pdf,0,0,0,2711565,3,4,1,0
http://www.cryptacet.com/spectrum/,0,0,0,10000000,0,6,2,0
http://jundajx.com/Images/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,0,0,1,10000000,2,4,2,1
http://www.experts-exchange.com/Microsoft/Development/MS_Access/,1,0,5,15747,0,2,1,0
http://tools.ietf.org/html/rfc3158,136,0,10,11392,0,6,1,0
http://www.intel.com/design/archives/processors/,92,0,33,773,3,8,2,0
http://www.aboutscotland.com/water/clydenl.html,48,0,4,8272719,0,4,1,0
http://positiveoutcomesllc.com/ate5/index.html,30,0,2,10000000,0,2,2,1
http://www.autodesk.com/dwg,194,0,16,780,2,8,2,0
