url,href_count,page_redirect,meta_data,url_rank,email_count,name_server_count,domain_name_count
http://www.jinxiuyuanlin.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,42,0,1,2321,0,2,1
http://www.informit.com/store/product.aspx?isbn=0201342936,102,0,8,19719,2,8,2
http://passion-marseille.com/wp-content/uploads/2012/Trulia/index.htm,22,0,10,10000000,3,4,2
http://www.mccabe.com/products.htm,53,0,1,3854300,2,2,1
http://members.tripod.com/campbell_naomi/,1,0,4,147641,2,8,2
"http://www.pearsonhighered.com/educator/academic/product/0,3110,0136059406,00.html",534,0,8,514,2,8,2
http://www.port7alliance.com/radical/,12,0,1,4726603,0,4,2
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cr3uYAzX5-tUjpqlflLj8lC-VEu1DXerJPtVg_xxs8TSoQTBK9XUAsaNCwIoXLkgae0X2WAPIapLZvoiAk_1cvusoRb8D2ArpPrzCLEQIfSSMKmk9wk5HOKbhh_Pgpn_SrKw9OabN_mWCvgF2ojR1Iwbj1E00o5308uKQEjwJnCzT1wDh1MWfsZloazE7dt2SsyDClwvOE2v6RV81vNRNAMjFV-Rg\%3D\%3D&amp;attredirects=0,7,0,4,1,2,8,2
http://www.sankhya.com/info/varadhi.html,82,0,6,6530251,0,2,1
http://tools.ietf.org/html/rfc772,39,0,8,11392,0,6,1
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,0,0,0,10705,0,3,1
http://tools.ietf.org/html/rfc713,77,0,7,11392,0,6,1
http://elizajayneoriginals.tripod.com/everythingbaby/,20,0,6,10000000,2,8,2
http://tools.ietf.org/html/rfc104,5,0,8,11392,0,6,1
http://www.members.shaw.ca/rnchan/,5,0,3,7625,2,-1,1
http://netboletonline.webatu.com/env_cred.php,1,0,5,5967,2,2,1
http://www.microsoft.com/msj/0599/complusprog/complusprog.aspx,110,0,5,21,4,8,2
http://en.wikipedia.org/wiki/General_MIDI,424,0,6,13,2,6,2
http://free-mobiles2u.co.uk/schemas/wellsfargo.com/index.htm,2,0,3,10000000,-1,1,1
http://www.netbsd.org/about/redistribution.html,50,0,3,115499,3,10,2
http://news.cnet.com/2100-1017-955806.html,230,0,47,168,3,8,2
http://klepa.net/.www.americanexpress.com/uk/,95,0,5,4189437,0,2,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpTbaYgcQQpUeqbLW_me1O2InYOBHFq824sCCuN7f3CdR8DqHD9PLAmqw8RR0yulU3yQ828hoQmOuu8Qn1fIaiblOyYXb85VdvJb4djfUJNSoDLLm5kUkSBqNDF6xN7XlnfG8wxhkeqqkV5o2iVxRRF6XKDDaAhY_5wpQ0-iNHXfwQmoA8N_Kcc8yOMug1WBb8Erc6HFc2T0-BOGqi6X6HqJtDo7g\%3D\%3D&amp;attredirects=0,7,0,4,1,2,8,2
http://www.cse.yorku.ca/~jeff/,32,0,1,4885,0,-1,1
http://tools.ietf.org/html/rfc1000,597,0,10,11392,0,6,1
http://www.boardgamegeek.com/game/9160,2,0,18,2736,0,2,1
http://sqxb.com/flash/index.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;nzvpdjeamp;ssl=0&amp;dest,0,0,0,10000000,0,2,2
http://www.angelfire.com/wa2/EasyStreet/,26,0,2,17761,2,8,2
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cqT9bjQruh68XDIkaeUjqyDAdf2eoNvhaAmQHYB7GREjs8pUEs3HcmvDlxW4TRdalaMDMSFySYsda_gUTJ2Fd_0J1bbD1lPDpdHWtOWtMyMS1eDHrmCI9zHU4S-d1XHeMsq_zC-NqVp3XmSjITQn5ZF6yq3k2qNLZV6Sy58D_1XdgZE-thQpv0WQoAWHQAa69h3Exc87IuRn1kbAKhoLz2W720pMA\%3D\%3D&amp;attredirects=0,7,0,4,1,2,8,2
http://www.websitepublisher.net/article/link_popularity/,0,0,0,318585,0,2,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cryo2onepraXN7oUQ-Lx3VO7Ysago0NsFwn_FN78pyWB_tZFldURxaxG3gy2mg4GAK9bMaUq3ycM6BHUDVtS3rq8oUsOjHxdvUjxM3TH_yTtKFt4IarIkvGULIc18pqhj8TUlXfDxKBZUMP3fnlhm4opDSWmZncPWxVyfnmfFU__KpBdFzPd0B_aHJ4OfY0V_2VaWFVEAi7RRjSH_AHmmZ1kf7m1Q\%3D\%3D&amp;attredirects=1,7,0,4,1,2,8,2
http://www.gamereport.com/tgr17/siedlercardgame.html,0,0,5,10000000,2,4,2
http://affiliatealmanac.com/systembanking/bdeb783e7ccacd536f96d91faef1cda4/,0,0,9,5470,0,2,1
http://java.sun.com/developer/technicalArticles/Networking/Webserver/,93,0,17,460,4,12,2
http://tools.ietf.org/html/rfc3782,232,0,11,11392,0,6,1
http://www.uniflooreg.com/remax/remax/index.htm,0,0,0,10000000,0,4,1
http://www.fibtex.lodz.pl/57_16_58.pdf,0,0,0,29207,-1,1,1
http://bjh21.me.uk/acorn/manuals/Sys2TM/contents.html,4,0,0,10000000,-1,1,1
http://www.freewebs.com/lardtubwargames/,1,0,1,135360,0,2,2
http://www.rtf2fo.com/index.html,0,0,0,3789844,2,4,2
http://www.allproducts.com/sup017/mingcheng/,32,0,10,479092,4,2,2
http://www.bizjournals.com/denver/stories/1997/05/12/story2.html,0,0,1,6020,2,8,2
http://tehelkalive.com/language/en-GB/bin/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/,99,0,4,10000000,0,2,2
http://rsiakendangsari.com/images/upgrade/update/,0,0,0,10000000,2,8,1
http://pastehtml.com/view/bfoav7k67.html,1,0,1,1292868,2,4,1
http://home.comcast.net/~betty.harrison/,7,0,2,311,2,10,2
http://tools.ietf.org/html/rfc2946,43,0,8,11392,0,6,1
http://paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.bihanos.newwayglobal.com/account.clinets/confirmed\%3Fa6=ided6aee8d43con/,39,0,1,2321,0,2,1
http://en.wikipedia.org/wiki/Flame_war,446,0,6,13,2,6,2
http://members.tripod.com/~KODA_WOLF/Woods.html,17,0,5,147641,2,8,2
http://j-mchenry.com/0_bikes/plandocs/docs/,15,0,14,10000000,2,16,1
http://www.hexatech.com/report_designer.htm,2,0,3,7352556,2,4,2
http://tools.ietf.org/html/rfc3134,104,0,9,11392,0,6,1
http://www.kees.cc/ffarm/ffarm.html,8,0,2,10000000,0,2,2
http://www.cleavebooks.co.uk/scol/ccdenlin.htm,6,0,0,358761,-1,1,1
http://vancouver-webpages.com/META/mk-metas.html,27,0,5,2264519,3,2,1
http://dawson3904.tripod.com/homepage.html,31,0,4,10000000,2,8,2
http://doiop.com/Documento_0000000976538975754246434,17,0,4,3469334,2,3,2
http://www.vonwentzel.net/ABS/,0,0,0,7001294,2,4,1
http://bbrecadastrosa.net16.net/index.php,1,0,5,5967,2,2,1
http://www.unsickerfarms.com/index.html,12,0,3,10000000,0,3,1
http://research.microsoft.com/en-us/projects/pex/,332,0,27,21,4,8,2
http://www.angelfire.com/wi/ranch2/redangus.html,17,0,3,17761,2,8,2
"http://news.zdnet.co.uk/software/0,1000000121,39116263,00.htm",266,0,18,3410,3,8,2
http://www.sybase.com/products/archivedproducts/powerj,353,0,21,1593,0,4,1
http://en.wikipedia.org/wiki/Witch_Hunters,87,0,6,13,2,6,2
http://en.decapack.com/une4/index.html,38,0,5,1286304,3,6,2
http://amsoft.ru/ruboard/,14,0,4,10000000,0,2,1
http://xml.coverpages.org/spacecraftML.html,63,0,6,1363140,4,4,1
