url,sub_domain,ip,state_code,ssl,meta_data,label
http://www.jinxiuyuanlin.com/js/?us.battle.net/login/en/?ref=http\%3A\%2F\%2Fus.battle.net\%2Fd3\%2Fen\%2Findex&amp;app=com-d3,1,64975801,0,0,1,1
http://www.informit.com/store/product.aspx?isbn=0201342936,1,2679547718,0,0,8,0
http://passion-marseille.com/wp-content/uploads/2012/Trulia/index.htm,1,3585745157,0,1,10,1
http://www.mccabe.com/products.htm,1,1078403488,0,1,1,0
http://members.tripod.com/campbell_naomi/,1,3519740994,0,1,4,0
"http://www.pearsonhighered.com/educator/academic/product/0,3110,0136059406,00.html",1,1749736237,0,0,8,0
http://www.port7alliance.com/radical/,1,3352098923,0,0,1,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cr3uYAzX5-tUjpqlflLj8lC-VEu1DXerJPtVg_xxs8TSoQTBK9XUAsaNCwIoXLkgae0X2WAPIapLZvoiAk_1cvusoRb8D2ArpPrzCLEQIfSSMKmk9wk5HOKbhh_Pgpn_SrKw9OabN_mWCvgF2ojR1Iwbj1E00o5308uKQEjwJnCzT1wDh1MWfsZloazE7dt2SsyDClwvOE2v6RV81vNRNAMjFV-Rg\%3D\%3D&amp;attredirects=0,1,1823564169,0,0,4,1
http://www.sankhya.com/info/varadhi.html,1,1979167014,0,0,6,0
http://tools.ietf.org/html/rfc772,1,69191229,0,0,8,0
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,1,1383448142,1,1,0,1
http://tools.ietf.org/html/rfc713,1,69191229,0,0,7,0
http://elizajayneoriginals.tripod.com/everythingbaby/,1,3519740994,0,1,6,0
http://tools.ietf.org/html/rfc104,1,69191229,0,0,8,0
http://www.members.shaw.ca/rnchan/,1,1077642798,0,1,3,0
http://netboletonline.webatu.com/env_cred.php,1,2572943460,1,0,5,1
