url,favicon,state_code,page_redirect,dash_count,url_rank,activeDuration,domain_name_count,label
http://tools.ietf.org/html/rfc772,1,0,0,0,11392,9370,1,0
http://dinas.tomsk.ru/js/?paypal.com/uk/cgi-bin/webscr1.htm?cmd=_login-run&dispatch=5885d80a13c0db1f1ff80d546411d7f8a8350c132bc41e0934cfc023d4r4ere32132,0,1,0,2,10705,8411,1,1
http://tools.ietf.org/html/rfc713,1,0,0,0,11392,9370,1,0
http://elizajayneoriginals.tripod.com/everythingbaby/,0,0,0,0,10000000,9533,2,0
http://tools.ietf.org/html/rfc104,1,0,0,0,11392,9370,1,0
http://www.members.shaw.ca/rnchan/,0,0,0,0,7625,7310,1,0
http://netboletonline.webatu.com/env_cred.php,0,1,0,0,5967,4913,1,1
http://www.microsoft.com/msj/0599/complusprog/complusprog.aspx,1,1,0,0,21,10779,2,0
http://en.wikipedia.org/wiki/General_MIDI,1,0,0,0,13,7235,2,0
http://free-mobiles2u.co.uk/schemas/wellsfargo.com/index.htm,0,0,0,1,10000000,520,1,1
http://www.netbsd.org/about/redistribution.html,0,0,0,0,115499,9726,2,0
http://news.cnet.com/2100-1017-955806.html,0,0,0,2,168,9741,2,0
http://klepa.net/.www.americanexpress.com/uk/,-1,0,0,0,4189437,7488,1,1
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=2&amp;attachauth=ANoY7cpTbaYgcQQpUeqbLW_me1O2InYOBHFq824sCCuN7f3CdR8DqHD9PLAmqw8RR0yulU3yQ828hoQmOuu8Qn1fIaiblOyYXb85VdvJb4djfUJNSoDLLm5kUkSBqNDF6xN7XlnfG8wxhkeqqkV5o2iVxRRF6XKDDaAhY_5wpQ0-iNHXfwQmoA8N_Kcc8yOMug1WBb8Erc6HFc2T0-BOGqi6X6HqJtDo7g\%3D\%3D&amp;attredirects=0,0,0,0,6,1,8451,2,1
http://www.cse.yorku.ca/~jeff/,-1,0,0,0,4885,7334,1,0
http://tools.ietf.org/html/rfc1000,1,0,0,0,11392,9370,1,0
http://www.boardgamegeek.com/game/9160,-1,0,0,0,2736,7474,1,0
http://sqxb.com/flash/index.htm?secure.runescape.com/m=weblogin/loginform.ws?mod=www&amp;nzvpdjeamp;ssl=0&amp;dest,0,1,0,0,10000000,5141,2,1
http://www.angelfire.com/wa2/EasyStreet/,0,0,0,0,17761,8056,2,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?amp\%3Battredirects=1&amp;attachauth=ANoY7cqT9bjQruh68XDIkaeUjqyDAdf2eoNvhaAmQHYB7GREjs8pUEs3HcmvDlxW4TRdalaMDMSFySYsda_gUTJ2Fd_0J1bbD1lPDpdHWtOWtMyMS1eDHrmCI9zHU4S-d1XHeMsq_zC-NqVp3XmSjITQn5ZF6yq3k2qNLZV6Sy58D_1XdgZE-thQpv0WQoAWHQAa69h3Exc87IuRn1kbAKhoLz2W720pMA\%3D\%3D&amp;attredirects=0,0,0,0,7,1,8451,2,1
http://www.websitepublisher.net/article/link_popularity/,0,1,0,0,318585,6490,1,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7cryo2onepraXN7oUQ-Lx3VO7Ysago0NsFwn_FN78pyWB_tZFldURxaxG3gy2mg4GAK9bMaUq3ycM6BHUDVtS3rq8oUsOjHxdvUjxM3TH_yTtKFt4IarIkvGULIc18pqhj8TUlXfDxKBZUMP3fnlhm4opDSWmZncPWxVyfnmfFU__KpBdFzPd0B_aHJ4OfY0V_2VaWFVEAi7RRjSH_AHmmZ1kf7m1Q\%3D\%3D&amp;attredirects=1,0,0,0,5,1,8451,2,1
http://www.gamereport.com/tgr17/siedlercardgame.html,0,1,0,0,10000000,7980,2,0
http://affiliatealmanac.com/systembanking/bdeb783e7ccacd536f96d91faef1cda4/,0,0,0,0,5470,7907,1,1
http://java.sun.com/developer/technicalArticles/Networking/Webserver/,0,0,0,0,460,11660,2,0
http://tools.ietf.org/html/rfc3782,1,0,0,0,11392,9370,1,0
http://www.uniflooreg.com/remax/remax/index.htm,0,1,0,0,10000000,2382,1,1
http://www.fibtex.lodz.pl/57_16_58.pdf,0,0,0,0,29207,9439,1,0
http://bjh21.me.uk/acorn/manuals/Sys2TM/contents.html,0,0,0,0,10000000,6141,1,0
http://www.freewebs.com/lardtubwargames/,0,1,0,0,135360,7451,2,0
http://www.rtf2fo.com/index.html,0,1,0,0,3789844,934,2,0
http://www.allproducts.com/sup017/mingcheng/,0,0,0,0,479092,8790,2,0
http://www.bizjournals.com/denver/stories/1997/05/12/story2.html,0,0,0,0,6020,7559,2,0
http://tehelkalive.com/language/en-GB/bin/_id/www.paypal.com/fr/cgi-bin/webscr/cmd=_registration-run/,0,1,0,3,10000000,940,2,1
http://rsiakendangsari.com/images/upgrade/update/,0,1,0,0,10000000,242,1,1
http://pastehtml.com/view/bfoav7k67.html,0,0,0,0,1292868,4300,1,1
http://home.comcast.net/~betty.harrison/,1,1,0,0,311,6495,2,1
http://tools.ietf.org/html/rfc2946,1,0,0,0,11392,9370,1,0
http://paypal.com.us.login.run.clinets.cgi-bin.webscr.upd13583585d80a13c0ddjvxhu85d80a13c0db1f9of81463215868fid.bihanos.newwayglobal.com/account.clinets/confirmed\%3Fa6=ided6aee8d43con/,0,0,0,1,2321,6214,1,1
http://en.wikipedia.org/wiki/Flame_war,1,0,0,0,13,7235,2,0
http://members.tripod.com/~KODA_WOLF/Woods.html,0,0,0,0,147641,9533,2,0
http://j-mchenry.com/0_bikes/plandocs/docs/,-1,1,0,1,10000000,106,1,1
http://www.hexatech.com/report_designer.htm,0,0,0,0,7352556,8817,2,0
http://tools.ietf.org/html/rfc3134,1,0,0,0,11392,9370,1,0
http://www.kees.cc/ffarm/ffarm.html,0,0,0,0,10000000,7720,2,0
http://www.cleavebooks.co.uk/scol/ccdenlin.htm,0,0,0,0,358761,6307,1,0
http://vancouver-webpages.com/META/mk-metas.html,0,0,0,2,2264519,9198,1,0
http://dawson3904.tripod.com/homepage.html,0,0,0,0,10000000,9533,2,0
http://doiop.com/Documento_0000000976538975754246434,0,0,0,0,3469334,5916,2,1
http://www.vonwentzel.net/ABS/,0,1,0,0,7001294,7598,1,0
http://bbrecadastrosa.net16.net/index.php,0,1,0,0,5967,4913,1,1
http://www.unsickerfarms.com/index.html,0,0,0,0,10000000,7754,1,0
http://research.microsoft.com/en-us/projects/pex/,0,0,0,1,21,10779,2,0
http://www.angelfire.com/wi/ranch2/redangus.html,0,0,0,0,17761,8056,2,0
"http://news.zdnet.co.uk/software/0,1000000121,39116263,00.htm",0,0,0,0,3410,9323,2,0
http://www.sybase.com/products/archivedproducts/powerj,1,0,0,0,1593,9422,1,0
http://en.wikipedia.org/wiki/Witch_Hunters,1,0,0,0,13,7235,2,0
http://en.decapack.com/une4/index.html,-1,1,0,0,1286304,7377,2,1
http://amsoft.ru/ruboard/,0,0,0,0,10000000,8437,1,0
http://xml.coverpages.org/spacecraftML.html,0,0,0,0,1363140,7272,1,0
http://9d345009-a-62cb3a1a-s-sites.googlegroups.com/site/stickamcomlogindo/login.html?attachauth=ANoY7crbx7LaGXwwSZnIAwdBDm8050rG-NcVeBE2ghRTLtnaKYu__WdChIJ0joKepShJ8Z5l-EC8BJ5PjZu2FQtaQgBj1O5VevYabKh4auIpcYmhgcTL1ITTwQGkqaaDpxGOrIg2-xGaODKp3LtlxRGQWJhU2U2CBPsSxr2mczYNfGswZIZcLTw8ZJnJ6mR78kWcirRr5aayJroAhaoi7AXVEjgPHVuFaA==&amp;attredirects=1,0,0,0,7,1,8451,2,1
http://pastehtml.com/view/bcnefmlgz.html,1,0,0,0,1292868,4300,1,1
http://www.laboutiquedevalou.fr/images/includes/shop/perm/index.htm,1,1,0,0,10000000,3257,1,1
http://cloud-tech.in/img/es/paypalworldwide.INC/cgi-bin/webscrcmd=_login-run/webscrcmd=_account-run/updates-paypal/confirm-paypal/,0,1,0,6,10000000,196,1,1
http://ashevillewebhost.com/templates/as002029/9973207324/336264262473734/,-1,1,0,0,10000000,4872,2,1
http://www.ddj.com/windows/184410987,0,0,0,0,217432,8168,2,0
http://www.informit.com/store/product.aspx?isbn=0201379503&amp;redir=1,1,0,0,0,19719,7951,2,0
http://swappingclosets.com/blog/direct/index.html,0,1,0,0,10000000,645,1,1
http://www.dawkco.com/software/,0,1,0,0,10000000,147,2,0
http://ideas.repec.org/p/wop/safire/98-05-041e.html,0,0,0,2,16354,7556,1,0
http://www.romanengo.com/eng/home.htm,0,1,0,0,10000000,7706,1,0
http://anita-gd.com/images/,0,0,0,1,10000000,322,2,1
http://developer.apple.com/wwdc/,1,0,0,0,42,12312,2,0
http://www.biohidrica.cl/BIOHIDRICA_english.htm,0,1,0,0,10000000,7537,1,0
http://www.d-et.com/eng/main.asp,0,0,0,1,10000000,6180,1,0
http://5wspanialych.pl/wp-content/uploads/ib.absa.za/,0,1,0,1,10000000,1143,1,1
http://www.sevkon.net/js/?ref=3D3D3D3D3Dus.battle.net/d3/en/index,0,1,0,0,10000000,194,1,1
http://www.dack.com/web/flash_evil.html,0,0,0,0,2180293,8639,2,0
http://mapejo.com.br/joomla/templates/atomic/dhjhjshs/login.htm,0,1,0,0,10000000,6820,1,1
http://www.angelfire.com/ego/teamdevious/,0,0,0,0,17761,8056,2,0
http://www.angelfire.com/nv/huntress/index.html,0,0,0,0,17761,8056,2,0
http://users11.jabry.com/refundonl/fradrag/skat_refund.html,0,0,0,0,4036029,4272,2,1
http://tools.ietf.org/html/rfc818,1,0,0,0,11392,9370,1,0
http://uniclastoken.h16.ru/Banco_Itau/Pessoa_Fisica/Token/Seguranca/Itau/GRIPNET/index.php,0,0,0,0,163298,7554,1,1
http://games.teamxbox.com/xbox-360/2167/Dantes-Inferno/,0,1,0,2,6088271,7264,2,0
http://www.pastehtml.com/view/bq55ylshv.html,1,0,0,0,1292868,4300,1,1
http://en.wikipedia.org/wiki/PCI-Express,1,0,0,1,13,7235,2,0
http://www.yeahindia.com/site2000,0,0,0,0,10000000,1728,2,0
http://www.highedgesolar.com/modules/hongleongconnect/servicerequest.htm,-1,1,0,0,10000000,3216,2,1
http://searchenginewatch.com/article/2064836/More-Search-and-Browsing-Fun-with-Firefox,0,1,0,6,13047,8265,2,0
